date,report_bucket,unique_leads,deals_contrib
2026-03-22,直播归因,1,0.0
2026-03-22,自然流入/沉淀,3,0.0
2026-03-21,直播归因,8,0.0
2026-03-21,自然流入/沉淀,19,0.0
2026-03-20,直播归因,447,0.0
2026-03-20,自然流入/沉淀,503,0.0
2026-03-19,直播归因,795,1.0
2026-03-19,自然流入/沉淀,1076,0.0
2026-03-18,直播归因,9325,0.0
2026-03-18,自然流入/沉淀,279,0.0
2026-03-17,直播归因,1059,0.0
2026-03-17,自然流入/沉淀,1030,1.0
2026-03-16,直播归因,941,0.0
2026-03-16,自然流入/沉淀,16,0.0
2026-03-15,直播归因,2,0.0
2026-03-15,自然流入/沉淀,1086,0.0
2026-03-14,直播归因,198,0.0
2026-03-14,自然流入/沉淀,8,0.0
2026-03-13,自然流入/沉淀,4,0.0
2026-03-12,直播归因,7,0.0
2026-03-12,自然流入/沉淀,8,0.0
2026-03-11,直播归因,4,0.3333
2026-03-11,自然流入/沉淀,11,0.0
2026-03-10,直播归因,10,0.3333
2026-03-10,自然流入/沉淀,10,0.0
2026-03-09,直播归因,9,0.0
2026-03-09,自然流入/沉淀,192,0.0
